Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c78822ddeccafd79b1b480691afcbd33eed2805cbedeeb60570ef24a0bf54d,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
058ecaefc104d54726828ad4231de3fc35fa9162cd6c3b55cfb16543c5554b8b,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.121592,51.511138,On or near VOYAGERS CLOSE,E01000467,Bexley 001B,Investigation complete; no suspect identified
fd21f4d0c76ae98dc2d2e95fef96e54ff9fd6560bf30e71a09049eeddc292515,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.171505,51.48517,On or near ST FIDELIS' ROAD,E01000404,Bexley 004B,Investigation complete; no suspect identified
c97038f75c8b4f22d03330143682ff6d7c0a46431326d0fb00312ebeb58cdfd6,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.176328,51.455773,On or near CLAREMONT CRESCENT,E01000377,Bexley 019D,Investigation complete; no suspect identified
9bcbe620578ea872785011797d6edb76d2b0767467cf9079fa5c34371a872e20,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.186152,51.462254,On or near NORRIS WAY,E01000380,Bexley 010D,Investigation complete; no suspect identified
74c738b0d0c23cc176d96f6e1ced4e7145f1c6714bcde4d0c285ff2cf9f111a8,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.069461,51.396923,On or near PEMBURY ROAD,E01001192,Croydon 008E,Investigation complete; no suspect identified
cb090b7a875e82e6f9f558d84efb6c316dfd684e1b70ca8c7d585099742012c1,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.112107,51.388346,On or near FIVEACRE CLOSE,E01001181,Croydon 015E,Investigation complete; no suspect identified
0c4aa903039316d4f2d817be5ddc655d486d015a8d007abb2a599b389a77d72b,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.026101,51.366596,On or near BORDER GARDENS,E01001130,Croydon 025C,Investigation complete; no suspect identified
1d0c873b816db2323cc2ba99ce5a3297e4a531afa8ca30a99aefd1f3ff74e02e,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.101385,51.382426,On or near STANTON ROAD,E01001012,Croydon 020A,Investigation complete; no suspect identified
434be95ff92f832d6de3088216689565b4026e4fcc9d3eb258151e199521f5a8,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.089285,51.381384,On or near FREEMASON'S ROAD,E01000976,Croydon 022B,Investigation complete; no suspect identified
434be95ff92f832d6de3088216689565b4026e4fcc9d3eb258151e199521f5a8,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.089285,51.381384,On or near FREEMASON'S ROAD,E01000976,Croydon 022B,Investigation complete; no suspect identified
501a9cdb363a263c43eea16a724c7cfa5863c76021df4676d572b55929c91148,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.085578,51.37725,On or near LEBANON ROAD,E01000979,Croydon 022E,Investigation complete; no suspect identified
618ab14b1faccfbf53f1660a59949e868d93717fc672369d10bf932c57c2dba2,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.093469,51.378566,On or near LANSDOWNE ROAD,E01001048,Croydon 020C,Investigation complete; no suspect identified
4b3f1470c80fc595c210a6192900e257065838f24e27ae0a502a7412d1d2ddd0,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.107533,51.374145,On or near BOURNE STREET,E01001166,Croydon 024D,Investigation complete; no suspect identified
62d15c4160ec935b033313545f908a8f75f9569954098f376fbf667e9f59afec,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.1133,51.38939,On or near DUNHEVED ROAD SOUTH,E01001181,Croydon 015E,Investigation complete; no suspect identified
6c7ccf1bb125c5193ee685f8c0c3303e1d3823dfc358311f28b8cea42497047f,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.107166,51.571571,On or near UPPER TOLLINGTON PARK,E01002063,Haringey 036B,Investigation complete; no suspect identified
53e700480de49eab34aad23d94f639c4cd527fa6485a30cd671a776f02699aa9,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.072028,51.580441,On or near Pedestrian Subway,E01002072,Haringey 025D,Investigation complete; no suspect identified
